image_id,device_id,timestamp,source_type,image_path,processed_path,width,height,brightness,processing_status,processing_time_ms,note
img_2d74745232,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_2d74745232.jpg,data/processed_images/img_2d74745232_processed_steps.jpg,640,360,233.55,processed,171.03,demo_frame=0
img_e35d0bf94d,simulated_camera,2026-06-09T07:36:26,demo_script,data/raw_images/img_e35d0bf94d.jpg,data/processed_images/img_e35d0bf94d_processed_steps.jpg,640,360,233.55,processed,7.17,demo_frame=1
img_494650f8dd,camera:no_camera_fallback,2026-06-09T07:36:29,motion_capture,data/raw_images/img_494650f8dd.jpg,data/processed_images/img_494650f8dd_processed_steps.jpg,640,360,233.55,processed,5.06,"motion_score=1162.0, threshold=25, min_area=800"
img_c5ed84ff29,simulated_camera,2026-06-10T07:54:05,demo_script,data\raw_images\img_c5ed84ff29.jpg,data\processed_images\img_c5ed84ff29_processed_steps.jpg,640,360,233.51,processed,61.18,demo_frame=0
img_095581d85e,simulated_camera,2026-06-10T07:54:05,demo_script,data\raw_images\img_095581d85e.jpg,data\processed_images\img_095581d85e_processed_steps.jpg,640,360,233.51,processed,47.81,demo_frame=1
img_2e4bff2c9d,camera:no_camera_fallback,2026-06-10T07:54:07,motion_capture,data\raw_images\img_2e4bff2c9d.jpg,data\processed_images\img_2e4bff2c9d_processed_steps.jpg,640,360,233.51,processed,28.41,"motion_score=1162.0, threshold=25, min_area=800"
img_a1df7ec440,camera:0,2026-06-10T07:56:30,camera,data\raw_images\img_a1df7ec440.jpg,data\processed_images\img_a1df7ec440_processed_steps.jpg,640,480,144.42,processed,33.03,snapshot button
img_093bbc7b4a,image_upload_dashboard,2026-06-10T07:57:04,upload,data\raw_images\img_093bbc7b4a.jpg,data\processed_images\img_093bbc7b4a_processed_steps.jpg,640,480,144.42,processed,52.25,filename=img_a1df7ec440.jpg
img_3180565846,camera:0,2026-06-10T08:12:12,motion_capture,data\raw_images\img_3180565846.jpg,data\processed_images\img_3180565846_processed_steps.jpg,640,360,233.51,processed,71.93,"motion_score=71791.0, threshold=25, min_area=800"
img_2ac34ce56e,camera:0,2026-06-10T08:12:21,motion_capture,data\raw_images\img_2ac34ce56e.jpg,data\processed_images\img_2ac34ce56e_processed_steps.jpg,640,480,137.91,processed,30.54,"motion_score=3753.5, threshold=25, min_area=800"
